Region,Type,Key,Cluster_Name,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,TECH,GAME,UNI
Capital,Inner City,0,Westminster,"Westminster/Knightsbridge-style elite core dominated by Prestige zones with high-managerial and academic support, many S",45,18,6,7,0,7,6,2,1,2,2,2,2,0,0,0
Capital,Inner City,1,Posh,"Rich People (Fewer S, More in A1, C1, C2)",6,45,6,10,0,10,8,5,2,2,2,2,2,0,0,0
Capital,Inner City,2,Professional,"People With Professioncy, which has very high B1, some C1, C2,D2) few A1 and others",2,4,2,58,0,8,8,5,6,2,2,2,1,0,0,0
Capital,Inner City,3,Middle_Class,"Middle Class, (High proportion of C1, C2, then B1, D1)",1,2,2,8,0,34,29,10,3,4,2,3,2,0,0,0
Capital,Inner City,4,Average,Average people with D1 highest and other evenly dist,3,5,5,7,0,10,10,22,8,8,8,8,6,0,0,0
Capital,Inner City,5,Creative_Rich,"artistic with most E1 with higher C, D",1,3,5,4,0,9,9,11,4,37,7,7,3,0,0,0
Capital,Inner City,6,Creative_Poor,"artistic with most E2 with higher D2, E, F",0,0,7,0,0,2,2,7,12,42,14,10,4,0,0,0
Capital,Inner City,7,Grassroot,"Stable skilled-trade and admin community (Bermondsey pre-gentrification style), highest is D2, E2",0,1,2,3,0,4,4,9,22,9,28,14,4,0,0,0
Capital,Inner City,8,Deprived,"Recent-migrant and low-wage arrival zone (parts of Tower Hamlets style), mostly F1",0,0,1,2,0,4,2,12,6,10,8,10,45,0,0,0
Capital,Inner City,9,Estate,"Flatted post-war social housing estate, high deprivation concentration (F2)",0,0,1,1,0,2,2,8,3,6,3,22,52,0,0,0
Capital,Inner City,U,University,"Bloomsbury-style campus-anchored zone with academic staff and low-income residual population (with highest UNI, then some B1, A1 and few C and D1)",0,5,3,18,0,5,3,3,1,2,0,0,0,0,0,60
Capital,Outer City,2,Professional,"People With Professioncy, which has very high B1, some C1, C2,D2) few A1 and others",0,3,3,55,0,8,8,7,8,3,2,2,1,0,0,0
Capital,Outer City,3,Middle_Class,"Middle Class, (High proportion of C1, C2, then B1, D1)",0,2,2,8,0,34,26,13,3,3,2,5,2,0,0,0
Capital,Outer City,4,Average,Average people with D1 highest and other evenly dist,0,4,4,6,0,9,9,27,7,7,7,10,10,0,0,0
Capital,Outer City,5,Creative_Rich,"artistic with most E1 with higher C, D",0,1,4,3,0,8,9,12,4,38,8,9,4,0,0,0
Capital,Outer City,6,Creative_Poor,"artistic with most E2 with higher D2, E, F",0,1,2,0,0,3,3,8,14,40,11,14,4,0,0,0
