Region,Type,Cluster_Name,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,TECH,GAME,UNI
Lowland,Inner City,Posh,"Birmingham-style affluent inner core - no Prestige(S) zone-type exists in Lowland per Community_matrix, so peak is A1 not S, and far less concentrated than Capital's Posh (A1=31 vs 41 in source Prosperous/A1 row).",0,28,5,10,0,15,14,10,4,4,4,4,2,0,0,0
Lowland,Inner City,Professional,"Academic/professional inner zone - Lowland Academic/B1 source row peaks at only 28% (vs Capital's 50%), reflecting a much less specialised professional-elite cluster.",0,4,4,32,0,14,15,8,8,6,4,4,1,0,0,0
Lowland,Inner City,Middle_Class,"Established C1/C2 inner belt, broader and flatter than Capital's equivalent.",0,2,3,10,0,26,24,14,4,6,3,6,2,0,0,0
Lowland,Inner City,Average,"D1-anchored but flatter than Capital - Lowland Stable Family/D1 source row peaks at 46% vs Capital's 58%, so spread is wider across other codes.",0,4,5,6,0,11,11,20,9,9,9,9,7,0,0,0
Lowland,Inner City,Creative_Rich,"Artistic E1-led zone with elevated C/D support, toned down from Capital's peak per general Lowland flattening.",0,2,6,5,0,10,10,10,6,28,9,10,4,0,0,0
Lowland,Inner City,Creative_Poor,"E2-led creative-fringe poverty zone - Lowland Grassroots/E2 source row shows E1=46% (even higher than Capital's 41%), so E1 crossover is boosted here.",0,1,3,3,0,5,5,6,16,13,30,14,4,0,0,0
Lowland,Inner City,Grassroot,"D2/E2 co-dominant working zone, F1 crossover boosted vs Capital reflecting Lowland's generally higher deprivation-adjacent baseline.",0,1,2,3,0,5,4,9,24,9,23,15,5,0,0,0
Lowland,Inner City,Deprived,"F1-dominant deprived inner zone, F2 crossover raised - Lowland deprivation rows consistently carry more F2 (Locals) than Capital's.",0,0,1,2,0,4,2,11,6,10,8,40,16,0,0,0
Lowland,Inner City,Estate,"F2-dominant post-war estate zone with a heavier F1 tail than Capital - Lowland Social Estate/F2 source row hits F1=64% (vs Capital's 45-61%).",0,0,1,1,0,3,2,9,4,7,4,24,45,0,0,0
Lowland,Inner City,University,"Campus-anchored UNI zone, same structure as Capital's tier.",0,6,4,14,0,8,4,5,2,4,0,3,0,0,0,50
