Region,Type,Community Cluster,Code,Description,S,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2
Capital,Inner City,Prosperous,A1,,3,40,10,25,2,3,4,7,2,1,3,0,0
Capital,Inner City,Progressive,A2,"Dense inner-city zone of progressive graduates, civil society workers and political activists. Typical of Islington, Hackney, Stokes Croft Bristol. OAC 2021 maps these as Multicultural & Educated Urbanites (Wyszomierski et al. 2023). High graduate density, above-average B1/A2, low manual and deprivation.",3,4,21,13,7,12,11,6,5,6,7,2,3
Capital,Inner City,Academic,B1,"BTR and serviced apartment zone near tech/finance districts. EHS private renters: 18% higher, 26% lower managerial NS-SEC. OAC Multicultural Educated Urbanites: high info/finance industry workers. C2 and C1 dominant, A1 moderate. E2 from gig/freelance satellite economy.",1,2,2,77,4,2,2,3,2,2,1,1,1
Capital,Inner City,Professional,C1,Transitional terrace zone with rising C2/B1 inflow displacing D1/F1. OAC 2021 notes sharpening of urban cores as Multicultural Educated Urbanites (Wyszomierski 2023). EHS owner-occupier NS-SEC: 25% higher + 33% lower managerial anchors C2/B1 for incoming layer. F1 residual from incumbent population.,2,2,4,32,3,24,18,7,3,1,2,1,1
Capital,Inner City,Middle Class,C2,,1,1,3,19,4,24,26,13,3,2,2,1,1
Capital,Inner City,Working-Class,D2,,1,0,2,5,2,4,2,55,5,14,5,3,2
Capital,Inner City,Stable Family,D1,"OAC 2011 Hard-Pressed Living: skilled trade, admin, caring/leisure above average. EHS owner-occupier: C2 skilled manual prominent in northern working-class suburbs. ASG C2 nationally 21.3% — elevated to ~28% in this cluster. C1 from NHS/council public sector.",2,1,1,6,1,6,4,63,4,7,2,2,1
Capital,Inner City,Artists,E1,"Inner-city zone of artists, musicians and freelance creatives in converted industrial stock. Closest OAC match: Multicultural Educated Urbanites with E2 spike. ASG places these as C1/C2 but income is precarious. Private rent dominant per EHS 2021-22.",0,1,18,2,3,5,7,19,4,8,25,6,2
Capital,Inner City,Grassroots,E2,,0,1,1,1,2,4,3,22,2,41,5,15,3
Capital,Inner City,Deprived,F1,Recent migrant and low-wage arrivals zone. OAC 2021 Low-Skilled Migrant and Student Communities: polar distribution between very low education and some graduate migrants. EHS private rent: 15% semi-routine + 11% routine anchors E1/F1 dominance. Overcrowding elevated per IMD housing dimension.,0,1,1,3,4,5,3,20,1,20,5,33,4
